"Network ID","Event Id","Created Local Date Time","No Injuries","Injury Type"
"WC",60560,01/01/16 02:23,2,"Light"
"WC",60565,01/01/16 07:05,4,"Severe"
"WC",60569,01/01/16 08:43,1,"Light"
"WC",60626,03/01/16 03:47,5,"Light"
"WC",60631,03/01/16 08:40,2,"Light"
"WC",60633,03/01/16 10:03,2,"Light"
"WC",60659,04/01/16 02:39,7,"Light"
"WC",60773,05/01/16 17:59,2,"Light"
"WC",60820,06/01/16 17:01,1,"Light"
"WC",60888,07/01/16 16:00,1,"Light"
"WC",60973,09/01/16 01:28,1,"Fatality"
"WC",61016,09/01/16 17:18,1,"Fatality"
"WC",61018,09/01/16 18:50,1,"Severe"
"WC",61018,09/01/16 18:50,3,"Light"
"WC",61018,09/01/16 18:50,1,"Fatality"
"WC",61149,11/01/16 17:39,1,"Light"
"WC",61250,13/01/16 05:25,1,"Light"
"WC",61268,13/01/16 07:31,13,"Light"
"WC",61573,16/01/16 21:25,1,"Light"
"WC",61603,17/01/16 14:25,1,"Severe"
"WC",61603,17/01/16 14:25,3,"Light"
"WC",61697,18/01/16 16:53,1,"Light"
"WC",62050,23/01/16 15:22,1,"Fatality"
"WC",62053,23/01/16 18:18,1,"Severe"
"WC",62078,24/01/16 09:37,1,"Severe"
"WC",62126,25/01/16 07:00,5,"Severe"
"WC",62136,25/01/16 08:03,1,"Light"
"WC",62200,25/01/16 22:48,1,"Fatality"
"WC",62200,25/01/16 22:48,1,"Severe"
"WC",62200,25/01/16 22:48,1,"Light"
"WC",62252,26/01/16 11:25,1,"Fatality"
"WC",62351,27/01/16 12:07,1,"Light"
"WC",62412,28/01/16 07:40,1,"Light"
"WC",62498,29/01/16 04:44,2,"Severe"
"WC",62513,29/01/16 07:51,1,"Light"
"WC",62533,29/01/16 10:10,1,"Light"
"WC",62591,29/01/16 23:59,2,"Severe"
"WC",62591,29/01/16 23:59,1,"Light"
"WC",62662,31/01/16 01:04,1,"Light"
"WC",62664,31/01/16 05:27,1,"Light"
"WC",62694,31/01/16 14:22,1,"Fatality"
"WC",62697,31/01/16 16:14,3,"Light"
"WC",62698,31/01/16 16:24,1,"Light"
"WC",62725,01/02/16 07:35,1,"Light"
"WC",62806,01/02/16 20:24,1,"Fatality"
"WC",62825,02/02/16 06:49,1,"Light"
"WC",63282,06/02/16 17:51,1,"Severe"
"WC",63318,07/02/16 13:53,1,"Light"
"WC",63344,07/02/16 21:48,2,"Light"
"WC",63370,08/02/16 07:48,1,"Light"
"WC",63372,08/02/16 08:03,8,"Severe"
"WC",63385,08/02/16 10:24,1,"Light"
"WC",63516,09/02/16 20:34,3,"Severe"
"WC",63599,10/02/16 20:27,1,"Fatality"
"WC",63743,12/02/16 11:16,1,"Light"
"WC",63756,12/02/16 13:37,1,"Light"
"WC",63795,12/02/16 23:34,3,"Light"
"WC",63799,13/02/16 02:12,1,"Light"
"WC",63799,13/02/16 02:12,1,"Fatality"
"WC",63886,14/02/16 18:15,1,"Severe"
"WC",63891,14/02/16 20:28,1,"Fatality"
"WC",64182,17/02/16 09:13,3,"Light"
"WC",64213,17/02/16 12:23,1,"Light"
"WC",64275,17/02/16 23:45,2,"Fatality"
"WC",64403,18/02/16 23:31,1,"Light"
"WC",64451,19/02/16 12:10,1,"Severe"
"WC",64466,19/02/16 14:00,3,"Light"
"WC",64534,20/02/16 13:10,1,"Fatality"
"WC",64550,20/02/16 19:14,2,"Light"
"WC",64633,22/02/16 05:51,1,"Fatality"
"WC",64649,22/02/16 07:58,2,"Light"
"WC",64649,22/02/16 07:58,1,"Severe"
"WC",64886,23/02/16 21:56,1,"Light"
"WC",65138,25/02/16 16:21,1,"Light"
"WC",65150,25/02/16 18:27,1,"Severe"
"WC",65277,26/02/16 19:29,1,"Light"
"WC",65387,27/02/16 19:27,1,"Fatality"
"WC",65410,28/02/16 04:11,9,"Light"
"WC",65413,28/02/16 05:15,2,"Severe"
"WC",65413,28/02/16 05:15,4,"Fatality"
"WC",65431,28/02/16 09:57,2,"Severe"
"WC",65444,28/02/16 12:29,1,"Light"
"WC",65461,28/02/16 17:25,1,"Light"
"WC",65521,29/02/16 08:30,1,"Light"
"WC",65724,01/03/16 19:08,1,"Fatality"
"WC",65725,01/03/16 21:11,1,"Severe"
"WC",65780,02/03/16 13:24,2,"Light"
"WC",65883,03/03/16 12:08,2,"Light"
"WC",65919,03/03/16 18:23,1,"Fatality"
"WC",65959,04/03/16 06:47,1,"Light"
"WC",65976,04/03/16 08:30,1,"Light"
"WC",66035,04/03/16 14:36,3,"Severe"
"WC",66040,04/03/16 16:37,1,"Fatality"
"WC",66046,04/03/16 18:05,1,"Light"
"WC",66117,05/03/16 15:28,1,"Severe"
"WC",66128,05/03/16 18:10,2,"Light"
"WC",66128,05/03/16 18:10,1,"Severe"
"WC",66426,08/03/16 22:42,1,"Light"
"WC",66434,09/03/16 06:25,1,"Light"
"WC",66533,09/03/16 17:18,2,"Light"
"WC",66614,10/03/16 09:15,1,"Light"
"WC",66697,10/03/16 17:29,1,"Severe"
"WC",66896,12/03/16 15:29,1,"Severe"
"WC",66903,12/03/16 19:58,1,"Light"
"WC",66903,12/03/16 19:58,1,"Severe"
"WC",66912,13/03/16 00:37,4,"Severe"
"WC",66914,13/03/16 01:53,1,"Severe"
"WC",66914,13/03/16 01:53,5,"Light"
"WC",66958,13/03/16 18:00,1,"Light"
